Lea State,LEA,ID,Category,Total
AZ,Cave Creek Unified District,400001,Enrollment in AP classes,523
AZ,Cave Creek Unified District,400001,Taking AP tests for some AP courses taken,524
AZ,Chino Valley Unified District,400003,Enrollment in AP classes,66
AZ,Chino Valley Unified District,400003,Taking AP tests for some AP courses taken,0
AZ,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,400811,Enrollment in AP classes,0
AZ,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,400811,Taking AP tests for some AP courses taken,0
AZ,Ash Fork Joint Unified District,400910,Enrollment in AP classes,0
AZ,Ash Fork Joint Unified District,400910,Taking AP tests for some AP courses taken,0
AZ,Bisbee Unified District,401180,Enrollment in AP classes,0
AZ,Bisbee Unified District,401180,Taking AP tests for some AP courses taken,0
AZ,Buckeye Union High School District,401410,Enrollment in AP classes,236
AZ,Buckeye Union High School District,401410,Taking AP tests for some AP courses taken,0
AZ,Sierra Vista Unified District,401460,Enrollment in AP classes,260
AZ,Sierra Vista Unified District,401460,Taking AP tests for some AP courses taken,195
AZ,Camp Verde Unified District,401600,Enrollment in AP classes,18
AZ,Camp Verde Unified District,401600,Taking AP tests for some AP courses taken,16
AZ,Catalina Foothills Unified District,401760,Enrollment in AP classes,555
AZ,Catalina Foothills Unified District,401760,Taking AP tests for some AP courses taken,371
AZ,Chandler Unified District #80,401870,Enrollment in AP classes,4847
AZ,Chandler Unified District #80,401870,Taking AP tests for some AP courses taken,3553
AZ,Chinle Unified District,401940,Enrollment in AP classes,40
AZ,Chinle Unified District,401940,Taking AP tests for some AP courses taken,13
AZ,Coolidge Unified District,402320,Enrollment in AP classes,107
AZ,Coolidge Unified District,402320,Taking AP tests for some AP courses taken,4
AZ,Douglas Unified District,402530,Enrollment in AP classes,104
AZ,Douglas Unified District,402530,Taking AP tests for some AP courses taken,104
AZ,Paradise Valley Unified District,405930,Enrollment in AP classes,2142
AZ,Paradise Valley Unified District,405930,Taking AP tests for some AP courses taken,1383
AZ,Parker Unified School District,405980,Enrollment in AP classes,0
AZ,Parker Unified School District,405980,Taking AP tests for some AP courses taken,0
AZ,Payson Unified School District #10,406070,Enrollment in AP classes,47
AZ,Payson Unified School District #10,406070,Taking AP tests for some AP courses taken,16
AZ,Peoria Unified School District,406250,Enrollment in AP classes,2296
AZ,Peoria Unified School District,406250,Taking AP tests for some AP courses taken,492
AZ,Phoenix Union High School District,406330,Enrollment in AP classes,2724
AZ,Phoenix Union High School District,406330,Taking AP tests for some AP courses taken,2154
AZ,Pima Unified District,406440,Enrollment in AP classes,0
AZ,Pima Unified District,406440,Taking AP tests for some AP courses taken,0
AZ,Blue Ridge Unified School District No. 32,406580,Enrollment in AP classes,34
AZ,Blue Ridge Unified School District No. 32,406580,Taking AP tests for some AP courses taken,20
AZ,Prescott Unified District,406730,Enrollment in AP classes,314
AZ,Prescott Unified District,406730,Taking AP tests for some AP courses taken,215
AZ,Sanders Unified District,406740,Enrollment in AP classes,0
AZ,Sanders Unified District,406740,Taking AP tests for some AP courses taken,0
AZ,Queen Creek Unified District,406810,Enrollment in AP classes,229
AZ,Queen Creek Unified District,406810,Taking AP tests for some AP courses taken,230
AZ,Winslow Unified District,409460,Enrollment in AP classes,99
AZ,Winslow Unified District,409460,Taking AP tests for some AP courses taken,24
AZ,Yuma Union High School District,409630,Enrollment in AP classes,2357
AZ,Yuma Union High School District,409630,Taking AP tests for some AP courses taken,1985
AZ,Sedona-Oak Creek JUSD #9,409733,Enrollment in AP classes,51
AZ,Sedona-Oak Creek JUSD #9,409733,Taking AP tests for some AP courses taken,32
CO,Yuma 1 School District,800016,Enrollment in AP classes,0
CO,Yuma 1 School District,800016,Taking AP tests for some AP courses taken,0
CO,Wray RD-2 School District,800017,Enrollment in AP classes,0
CO,Wray RD-2 School District,800017,Taking AP tests for some AP courses taken,0
CO,DIVISION OF YOUTH SERVICES,800286,Enrollment in AP classes,0
CO,DIVISION OF YOUTH SERVICES,800286,Taking AP tests for some AP courses taken,0
CO,Academy School District No. 20,801920,Enrollment in AP classes,2376
CO,Academy School District No. 20,801920,Taking AP tests for some AP courses taken,1932
CO,School District N. 14 in the county of Adams & State of Colo,801950,Enrollment in AP classes,332
CO,School District N. 14 in the county of Adams & State of Colo,801950,Taking AP tests for some AP courses taken,256
