ID,White,District_Population
900002,4941,10803
900004,40,135
900060,850,2271
900070,511,1941
903630,834,912
903660,1695,2197
903720,1000,1057
903810,4018,4897
903840,1496,2693
903990,1647,2167
904050,3278,4691
904110,3137,4105
904140,1213,1344
904170,2557,4225
904230,5282,6458
904290,1315,1514
904320,4760,15811
904380,1778,2071
904440,2642,6771
904470,1855,2207
904500,796,872
904530,885,1007
904560,2188,2441
904590,2435,3929
904620,4835,6708
904680,1782,3088
904740,4429,5981
904830,3297,18872
904860,1966,2516
904890,2350,2767
904920,5529,9678
904950,1860,5755
904980,581,726
905010,1937,2330
905040,4534,5550
2314809,2246,2358
2314815,2222,2422
2314822,1436,1553
2314833,728,760
2500001,2072,2266
2500002,1165,1392
2500013,1376,1520
2500067,1397,1426
2500542,1301,1707
2500544,1489,1852
2501650,1745,2033
2501710,3145,5608
2501780,1104,1224
2501800,3255,3858
2501860,1857,2147
2501890,524,1144
2501950,4229,5918
2501980,4118,5718
2502040,2242,2419
2502100,1906,2750
2502160,1303,1534
2502190,4116,5965
2502220,2154,2612
2502310,3658,5174
2502400,1765,2647
2502430,2072,2323
2502460,2008,2284
2502490,3039,4593
2502530,1040,1257
2508160,1099,1226
2508250,873,1623
2508280,1265,1429
2508310,2944,3342
2508340,4201,5475
2508370,4393,5666
2508430,5206,12617
2508580,2084,2269
2508610,8127,12931
2508670,1189,1439
2508700,3623,4807
2508730,3505,4297
2508790,2791,3086
2508820,2228,2488
2508850,1886,2656
2508880,1218,1649
2508940,1881,2175
2509000,2204,2464
2509030,2051,2198
2509060,2291,3405
2509270,1348,1675
2509360,0,0
2509420,2786,2894
2509450,2283,2469
2509600,754,795
2509630,3605,5478
2509720,6609,7551
2509870,4202,9375
2509900,703,846
2509930,346,2750
2509990,3692,4212
2510050,2653,7540
2510170,1785,2175
3304290,332,340
3304350,1167,1297
3304380,723,812
3304410,3960,4332
3304590,7690,13485
3304670,1027,1074
3304680,1105,1174
3304740,3431,3774
3304760,2321,2442
3304830,2142,2344
3304890,1541,1642
3304960,472,497
3304980,6562,11217
3305220,1137,1204
3305280,881,1050
3305310,942,975
3305400,327,335
3305520,1894,2148
3305550,1689,1918
3305580,1389,1499
3305820,2118,2623
3305880,1205,1312
3305940,3798,4244
3306060,2907,3540
3306080,1443,1563
3306180,1274,1316
3306240,1198,1550
3306540,396,409
3306720,3358,3573
3307050,1048,1118
900120,2144,3207
900150,231,248
900210,2263,2783
900270,2110,3047
900330,209,2134
900360,646,806
900420,2176,2901
900450,2579,20739
900510,4553,7793
900540,2041,2628
900690,1306,1589
900700,2126,8539
900750,3382,4231
900810,1403,1761
900840,2070,2415
900910,236,834
900960,1485,1682
900990,1425,1958
901020,3893,11428
901050,4148,4784
901110,586,1357
901170,638,830
901200,935,1017
901230,1651,1861
901260,950,6766
901290,1707,2729
901320,2130,2772
901350,640,1068
901360,301,425
905070,2569,3577
905130,3134,4021
905190,752,3277
905220,835,3184
905250,948,1545
905280,1940,2270
2302610,3001,3555
2302640,2152,2401
2302820,3164,3680
2303150,2037,2441
2303780,2069,2358
2303870,606,710
2303930,1450,1603
2305670,1905,2101
2306060,2502,2724
2306510,1179,1257
2307100,121,121
2307140,871,1041
2307320,3005,5422
2307530,1235,1262
2307710,522,533
2309930,3794,6772
2310380,1486,1669
2310500,2822,3149
2310530,2657,2930
2310590,1968,2051
2310650,174,186
2310710,1838,1978
2310770,3383,3635
2502640,3541,4560
2502670,3850,4829
2502715,1461,1680
2502790,7814,57327
2502820,1725,1973
2502940,4076,5690
2503030,4694,5255
2503090,3174,16654
2503150,4231,7802
2503240,2453,3577
2503270,2757,6916
2503300,2258,3292
2503390,1462,1603
2503510,3706,4990
2503540,407,6328
2503660,4101,7551
2503750,1279,1873
2503780,1457,1585
2503840,1618,2113
2503990,2955,3462
2504020,3192,3642
2504050,1886,2645
2504140,2017,2982
2504200,2697,2912
2504230,1256,1354
2504320,2875,3760
2504360,3202,3723
2504410,2888,3105
2504440,2086,2296
2504500,2165,2641
2504590,1249,1568
2504620,3090,3728
2510200,841,914
2510380,1736,3695
2510470,2450,2609
2510500,1851,2587
2510560,2787,2983
2510590,1763,2001
