ID,Category,Total
3303090,Expulsions with educational services,0
3303090,Referral to law enforcement,5
3304960,Expulsions with educational services,0
3304960,Referral to law enforcement,1
3307170,Expulsions with educational services,0
3307170,Referral to law enforcement,0
2508730,Expulsions with educational services,0
2508730,Referral to law enforcement,0
4400900,Expulsions with educational services,3
4400900,Referral to law enforcement,85
2509030,Expulsions with educational services,0
2509030,Referral to law enforcement,1
2512210,Expulsions with educational services,0
2512210,Referral to law enforcement,0
2307320,Expulsions with educational services,0
2307320,Referral to law enforcement,20
2512750,Expulsions with educational services,0
2512750,Referral to law enforcement,0
2310590,Expulsions with educational services,0
2310590,Referral to law enforcement,4
5000399,Expulsions with educational services,0
5000399,Referral to law enforcement,7
2314767,Expulsions with educational services,0
2314767,Referral to law enforcement,0
904980,Expulsions with educational services,1
904980,Referral to law enforcement,0
4400540,Expulsions with educational services,0
4400540,Referral to law enforcement,0
2314783,Expulsions with educational services,0
2314783,Referral to law enforcement,0
900070,Expulsions with educational services,4
900070,Referral to law enforcement,18
5000391,Expulsions with educational services,0
5000391,Referral to law enforcement,10
2504950,Expulsions with educational services,0
2504950,Referral to law enforcement,0
4400300,Expulsions with educational services,0
4400300,Referral to law enforcement,0
2511490,Expulsions with educational services,0
2511490,Referral to law enforcement,0
2505370,Expulsions with educational services,0
2505370,Referral to law enforcement,1
3303510,Expulsions with educational services,0
3303510,Referral to law enforcement,0
4400032,Expulsions with educational services,0
4400032,Referral to law enforcement,1
2314130,Expulsions with educational services,0
2314130,Referral to law enforcement,0
2512810,Expulsions with educational services,0
2512810,Referral to law enforcement,0
2310650,Expulsions with educational services,0
2310650,Referral to law enforcement,0
2314785,Expulsions with educational services,0
2314785,Referral to law enforcement,1
2507230,Expulsions with educational services,0
2507230,Referral to law enforcement,1
2510770,Expulsions with educational services,0
2510770,Referral to law enforcement,0
4400015,Expulsions with educational services,0
4400015,Referral to law enforcement,0
900700,Expulsions with educational services,4
900700,Referral to law enforcement,3
901020,Expulsions with educational services,1
901020,Referral to law enforcement,57
903539,Expulsions with educational services,2
903539,Referral to law enforcement,1
2314700,Expulsions with educational services,5
2314700,Referral to law enforcement,19
901470,Expulsions with educational services,8
901470,Referral to law enforcement,9
904440,Expulsions with educational services,1
904440,Referral to law enforcement,32
2501710,Expulsions with educational services,0
2501710,Referral to law enforcement,0
3303660,Expulsions with educational services,0
3303660,Referral to law enforcement,1
2502160,Expulsions with educational services,0
2502160,Referral to law enforcement,0
2507080,Expulsions with educational services,0
2507080,Referral to law enforcement,0
2510590,Expulsions with educational services,0
2510590,Referral to law enforcement,16
2513200,Expulsions with educational services,0
2513200,Referral to law enforcement,0
2302610,Expulsions with educational services,0
2302610,Referral to law enforcement,15
2508670,Expulsions with educational services,0
2508670,Referral to law enforcement,12
4400270,Expulsions with educational services,0
4400270,Referral to law enforcement,8
2505490,Expulsions with educational services,2
2505490,Referral to law enforcement,0
2512100,Expulsions with educational services,0
2512100,Referral to law enforcement,0
4400660,Expulsions with educational services,3
4400660,Referral to law enforcement,1
2314300,Expulsions with educational services,0
2314300,Referral to law enforcement,0
2512660,Expulsions with educational services,0
2512660,Referral to law enforcement,0
2307140,Expulsions with educational services,0
2307140,Referral to law enforcement,6
5004590,Expulsions with educational services,0
5004590,Referral to law enforcement,0
3305220,Expulsions with educational services,0
3305220,Referral to law enforcement,20
3302880,Expulsions with educational services,1
3302880,Referral to law enforcement,2
2510890,Expulsions with educational services,0
2510890,Referral to law enforcement,0
2510470,Expulsions with educational services,0
2510470,Referral to law enforcement,0
2311520,Expulsions with educational services,0
2311520,Referral to law enforcement,31
900810,Expulsions with educational services,3
900810,Referral to law enforcement,2
900420,Expulsions with educational services,0
900420,Referral to law enforcement,0
903512,Expulsions with educational services,0
903512,Referral to law enforcement,0
903630,Expulsions with educational services,2
903630,Referral to law enforcement,3
2504020,Expulsions with educational services,0
2504020,Referral to law enforcement,0
2507560,Expulsions with educational services,0
2507560,Referral to law enforcement,0
