Lea State,LEA,ID,Category,Total
GA,Fannin County,1302100,Discplined_Race,1
GA,Fannin County,1302100,Reported_Race,1
FL,BROWARD,1200180,Discplined_Race,7
FL,BROWARD,1200180,Reported_Race,0
GA,Greene County,1302490,Discplined_Race,0
GA,Greene County,1302490,Reported_Race,0
GA,Union County,1305250,Discplined_Race,0
GA,Union County,1305250,Reported_Race,0
TN,Washington County,4704380,Discplined_Race,4
TN,Washington County,4704380,Reported_Race,6
TN,Greeneville City Schools,4701500,Discplined_Race,1
TN,Greeneville City Schools,4701500,Reported_Race,1
AL,Alabaster City,100190,Discplined_Race,44
AL,Alabaster City,100190,Reported_Race,36
GA,White County,1305670,Discplined_Race,7
GA,White County,1305670,Reported_Race,7
TN,Sullivan County,4703990,Discplined_Race,2
TN,Sullivan County,4703990,Reported_Race,2
AL,Bullock County,100480,Discplined_Race,0
AL,Bullock County,100480,Reported_Race,0
AL,Conecuh County,100870,Discplined_Race,0
AL,Conecuh County,100870,Reported_Race,0
AL,Tallapoosa County,103210,Discplined_Race,0
AL,Tallapoosa County,103210,Reported_Race,1
TN,Haywood County,4701770,Discplined_Race,3
TN,Haywood County,4701770,Reported_Race,7
AL,Roanoke City,102850,Discplined_Race,8
AL,Roanoke City,102850,Reported_Race,6
TN,Johnson County,4702160,Discplined_Race,1
TN,Johnson County,4702160,Reported_Race,1
FL,HARDEE,1200750,Discplined_Race,1
FL,HARDEE,1200750,Reported_Race,0
FL,DADE,1200390,Discplined_Race,0
FL,DADE,1200390,Reported_Race,0
GA,Bremen City,1300510,Discplined_Race,0
GA,Bremen City,1300510,Reported_Race,0
GA,Harris County School District,1302700,Discplined_Race,2
GA,Harris County School District,1302700,Reported_Race,12
AL,Mountain Brook City,102490,Discplined_Race,0
AL,Mountain Brook City,102490,Reported_Race,0
TN,Rutherford County,4703690,Discplined_Race,9
TN,Rutherford County,4703690,Reported_Race,24
FL,ST. JOHNS,1201740,Discplined_Race,2
FL,ST. JOHNS,1201740,Reported_Race,0
GA,Baldwin County,1300210,Discplined_Race,0
GA,Baldwin County,1300210,Reported_Race,0
GA,Crisp County,1301560,Discplined_Race,29
GA,Crisp County,1301560,Reported_Race,31
TN,Arlington,4700152,Discplined_Race,0
TN,Arlington,4700152,Reported_Race,0
TN,Cumberland County,4700900,Discplined_Race,0
TN,Cumberland County,4700900,Reported_Race,0
GA,Fulton County,1302280,Discplined_Race,23
GA,Fulton County,1302280,Reported_Race,85
TN,Oneida Special School District,4703300,Discplined_Race,0
TN,Oneida Special School District,4703300,Reported_Race,0
GA,Laurens County,1301890,Discplined_Race,3
GA,Laurens County,1301890,Reported_Race,3
TN,Cannon County,4700450,Discplined_Race,0
TN,Cannon County,4700450,Reported_Race,0
GA,Social Circle City,1304540,Discplined_Race,0
GA,Social Circle City,1304540,Reported_Race,0
TN,Cleveland,4700690,Discplined_Race,9
TN,Cleveland,4700690,Reported_Race,10
GA,Tift County,1304980,Discplined_Race,8
GA,Tift County,1304980,Reported_Race,13
AL,Alexander City,100030,Discplined_Race,0
AL,Alexander City,100030,Reported_Race,1
AL,Autauga County,100240,Discplined_Race,5
AL,Autauga County,100240,Reported_Race,11
TN,Elizabethton,4701110,Discplined_Race,0
TN,Elizabethton,4701110,Reported_Race,0
AL,Midfield City,102350,Discplined_Race,0
AL,Midfield City,102350,Reported_Race,0
AL,Pell City,102650,Discplined_Race,10
AL,Pell City,102650,Reported_Race,11
GA,Appling County,1300060,Discplined_Race,0
GA,Appling County,1300060,Reported_Race,0
AL,Sheffield City,103000,Discplined_Race,0
AL,Sheffield City,103000,Reported_Race,0
TN,Manchester,4702610,Discplined_Race,0
TN,Manchester,4702610,Reported_Race,0
AL,Hoover City,100007,Discplined_Race,0
AL,Hoover City,100007,Reported_Race,0
AL,Geneva County,101660,Discplined_Race,0
AL,Geneva County,101660,Reported_Race,0
AL,Elmore County,101290,Discplined_Race,6
AL,Elmore County,101290,Reported_Race,9
AL,Jasper City Board Of Education,101890,Discplined_Race,5
AL,Jasper City Board Of Education,101890,Reported_Race,4
FL,LIBERTY,1201170,Discplined_Race,0
FL,LIBERTY,1201170,Reported_Race,0
GA,Catoosa County,1300930,Discplined_Race,1
GA,Catoosa County,1300930,Reported_Race,1
FL,PASCO,1201530,Discplined_Race,18
FL,PASCO,1201530,Reported_Race,0
GA,Oglethorpe County,1303990,Discplined_Race,0
GA,Oglethorpe County,1303990,Reported_Race,0
FL,UNION,1201890,Discplined_Race,0
FL,UNION,1201890,Reported_Race,0
GA,Coffee County,1301350,Discplined_Race,0
GA,Coffee County,1301350,Reported_Race,0
GA,Randolph County,1304350,Discplined_Race,0
GA,Randolph County,1304350,Reported_Race,0
GA,Decatur County,1301710,Discplined_Race,12
GA,Decatur County,1301710,Reported_Race,15
AL,Homewood City,101760,Discplined_Race,0
AL,Homewood City,101760,Reported_Race,0
AL,Limestone County,102100,Discplined_Race,6
AL,Limestone County,102100,Reported_Race,12
GA,Johnson County,1303120,Discplined_Race,0
GA,Johnson County,1303120,Reported_Race,0
AL,Clarke County,100720,Discplined_Race,0
AL,Clarke County,100720,Reported_Race,0
AL,Calhoun County,100540,Discplined_Race,8
AL,Calhoun County,100540,Reported_Race,10
AL,Tarrant City,103270,Discplined_Race,0
AL,Tarrant City,103270,Reported_Race,0
AL,Covington County,100930,Discplined_Race,0
AL,Covington County,100930,Reported_Race,0
TN,Loudon County,4702520,Discplined_Race,0
TN,Loudon County,4702520,Reported_Race,0
AL,Leeds City,100011,Discplined_Race,0
AL,Leeds City,100011,Reported_Race,0
TN,Anderson County,4700090,Discplined_Race,0
TN,Anderson County,4700090,Reported_Race,0
AL,Etowah County,101380,Discplined_Race,0
AL,Etowah County,101380,Reported_Race,0
AL,Hale County,101710,Discplined_Race,1
AL,Hale County,101710,Reported_Race,1
TN,Milan,4702970,Discplined_Race,0
TN,Milan,4702970,Reported_Race,0
FL,MARION,1201260,Discplined_Race,7
FL,MARION,1201260,Reported_Race,0
GA,Chattahoochee County,1301050,Discplined_Race,0
GA,Chattahoochee County,1301050,Reported_Race,0
FL,PUTNAM,1201620,Discplined_Race,0
FL,PUTNAM,1201620,Reported_Race,0
GA,Commerce City,1301440,Discplined_Race,3
GA,Commerce City,1301440,Reported_Race,2
GA,Pelham City,1304080,Discplined_Race,0
GA,Pelham City,1304080,Reported_Race,0
FL,WALTON,1201980,Discplined_Race,4
FL,WALTON,1201980,Reported_Race,0
GA,Rome City,1304440,Discplined_Race,0
GA,Rome City,1304440,Reported_Race,0
AL,Albertville City,100005,Discplined_Race,1
AL,Albertville City,100005,Reported_Race,1
AL,Jackson County,101830,Discplined_Race,1
AL,Jackson County,101830,Reported_Race,5
TN,Paris,4703360,Discplined_Race,0
TN,Paris,4703360,Reported_Race,0
AL,Macon County,102190,Discplined_Race,0
AL,Macon County,102190,Reported_Race,0
AL,Andalusia City,100060,Discplined_Race,6
AL,Andalusia City,100060,Reported_Race,6
GA,Lanier County Schools,1303240,Discplined_Race,0
GA,Lanier County Schools,1303240,Reported_Race,0
AL,Coffee County,100810,Discplined_Race,0
AL,Coffee County,100810,Reported_Race,0
FL,COLLIER,1200330,Discplined_Race,5
FL,COLLIER,1200330,Reported_Race,6
GA,Hancock County,1302640,Discplined_Race,0
GA,Hancock County,1302640,Reported_Race,0
GA,Walton County,1305390,Discplined_Race,5
GA,Walton County,1305390,Reported_Race,5
GA,Worth County,1305850,Discplined_Race,0
GA,Worth County,1305850,Reported_Race,0
GA,Jefferson County,1303060,Discplined_Race,0
GA,Jefferson County,1303060,Reported_Race,0
AL,Chilton County,100660,Discplined_Race,4
AL,Chilton County,100660,Reported_Race,7
AL,Cullman County,101020,Discplined_Race,0
AL,Cullman County,101020,Reported_Race,0
AL,Tuscaloosa City,103360,Discplined_Race,1
AL,Tuscaloosa City,103360,Reported_Race,2
GA,Screven County,1304500,Discplined_Race,0
GA,Screven County,1304500,Reported_Race,0
GA,Douglas County,1301860,Discplined_Race,0
GA,Douglas County,1301860,Reported_Race,0
TN,Campbell County,4700420,Discplined_Race,0
TN,Campbell County,4700420,Reported_Race,0
GA,Thomas County,1304890,Discplined_Race,0
GA,Thomas County,1304890,Reported_Race,0
AL,Marengo County,102250,Discplined_Race,0
AL,Marengo County,102250,Reported_Race,0
AL,Arab City,100100,Discplined_Race,0
AL,Arab City,100100,Reported_Race,0
AL,Oxford City,102635,Discplined_Race,0
AL,Oxford City,102635,Reported_Race,0
TN,Crockett County,4700850,Discplined_Race,0
TN,Crockett County,4700850,Reported_Race,0
GA,Gordon County,1302430,Discplined_Race,6
GA,Gordon County,1302430,Reported_Race,6
GA,Emanuel County,1302040,Discplined_Race,0
GA,Emanuel County,1302040,Reported_Race,0
TN,Trenton,4704100,Discplined_Race,0
TN,Trenton,4704100,Reported_Race,0
GA,Turner County,1305190,Discplined_Race,0
GA,Turner County,1305190,Reported_Race,0
GA,Carrollton City,1300870,Discplined_Race,0
GA,Carrollton City,1300870,Reported_Race,0
FL,OSCEOLA,1201470,Discplined_Race,1
FL,OSCEOLA,1201470,Reported_Race,1
GA,Clinch County,1301260,Discplined_Race,0
GA,Clinch County,1301260,Reported_Race,0
TN,Kingsport,4702190,Discplined_Race,1
TN,Kingsport,4702190,Reported_Race,1
GA,Cartersville City,1300900,Discplined_Race,0
GA,Cartersville City,1300900,Reported_Race,0
TN,Madison County,4702580,Discplined_Race,0
TN,Madison County,4702580,Reported_Race,0
GA,Oconee County,1303960,Discplined_Race,1
