Lea State,LEA,ID,Category,Total
CA,Kings Canyon Joint Unified,619700,Algebra1,51
CA,Kings Canyon Joint Unified,619700,Geometry,27
CA,Kings Canyon Joint Unified,619700,Algebra2,15
CA,Kings Canyon Joint Unified,619700,Adv_Math,24
CA,Kings Canyon Joint Unified,619700,Calculus,4
CA,Kings Canyon Joint Unified,619700,Biology,32
CA,Kings Canyon Joint Unified,619700,Chemistry,19
CA,Kings Canyon Joint Unified,619700,Physics,1
CA,Pleasanton Unified,600020,Algebra1,27
CA,Pleasanton Unified,600020,Geometry,21
CA,Pleasanton Unified,600020,Algebra2,17
CA,Pleasanton Unified,600020,Adv_Math,44
CA,Pleasanton Unified,600020,Calculus,20
CA,Pleasanton Unified,600020,Biology,48
CA,Pleasanton Unified,600020,Chemistry,41
CA,Pleasanton Unified,600020,Physics,27
CA,Poway Unified,631530,Algebra1,102
CA,Poway Unified,631530,Geometry,89
CA,Poway Unified,631530,Algebra2,62
CA,Poway Unified,631530,Adv_Math,91
CA,Poway Unified,631530,Calculus,93
CA,Poway Unified,631530,Biology,135
CA,Poway Unified,631530,Chemistry,88
CA,Poway Unified,631530,Physics,71
CA,Tulare City,639870,Algebra1,0
CA,Tulare City,639870,Geometry,0
CA,Tulare City,639870,Algebra2,0
CA,Tulare City,639870,Adv_Math,0
CA,Tulare City,639870,Calculus,0
CA,Tulare City,639870,Biology,0
CA,Tulare City,639870,Chemistry,0
CA,Tulare City,639870,Physics,0
CA,Panama-Buena Vista Union,606390,Algebra1,0
CA,Panama-Buena Vista Union,606390,Geometry,0
CA,Panama-Buena Vista Union,606390,Algebra2,0
CA,Panama-Buena Vista Union,606390,Adv_Math,0
CA,Panama-Buena Vista Union,606390,Calculus,0
CA,Panama-Buena Vista Union,606390,Biology,0
CA,Panama-Buena Vista Union,606390,Chemistry,0
CA,Panama-Buena Vista Union,606390,Physics,0
CA,Oakland Unified,628050,Algebra1,180
CA,Oakland Unified,628050,Geometry,140
CA,Oakland Unified,628050,Algebra2,110
CA,Oakland Unified,628050,Adv_Math,163
CA,Oakland Unified,628050,Calculus,14
CA,Oakland Unified,628050,Biology,165
CA,Oakland Unified,628050,Chemistry,105
CA,Oakland Unified,628050,Physics,70
CA,Folsom-Cordova Unified,613890,Algebra1,54
CA,Folsom-Cordova Unified,613890,Geometry,66
CA,Folsom-Cordova Unified,613890,Algebra2,38
CA,Folsom-Cordova Unified,613890,Adv_Math,66
CA,Folsom-Cordova Unified,613890,Calculus,11
CA,Folsom-Cordova Unified,613890,Biology,68
CA,Folsom-Cordova Unified,613890,Chemistry,41
CA,Folsom-Cordova Unified,613890,Physics,10
CA,Placer Union High,630750,Algebra1,34
CA,Placer Union High,630750,Geometry,30
CA,Placer Union High,630750,Algebra2,25
CA,Placer Union High,630750,Adv_Math,21
CA,Placer Union High,630750,Calculus,8
CA,Placer Union High,630750,Biology,56
CA,Placer Union High,630750,Chemistry,22
CA,Placer Union High,630750,Physics,12
CA,Lammersville Joint Unified,601410,Algebra1,11
CA,Lammersville Joint Unified,601410,Geometry,9
CA,Lammersville Joint Unified,601410,Algebra2,10
CA,Lammersville Joint Unified,601410,Adv_Math,11
CA,Lammersville Joint Unified,601410,Calculus,3
