Lea State,LEA,ID,Category,Total
MA,Medfield,2507530,Single-sex teams,49
MA,Medfield,2507530,Participants on single-sex teams,767
MA,Clinton,2503750,Single-sex teams,21
MA,Clinton,2503750,Participants on single-sex teams,304
MA,Oxford,2509270,Single-sex teams,10
MA,Oxford,2509270,Participants on single-sex teams,149
ME,RSU 37/MSAD 37,2311430,Single-sex teams,14
ME,RSU 37/MSAD 37,2311430,Participants on single-sex teams,85
RI,Westerly,4401170,Single-sex teams,38
RI,Westerly,4401170,Participants on single-sex teams,557
CT,GROTON SCHOOL DISTRICT,901770,Single-sex teams,58
CT,GROTON SCHOOL DISTRICT,901770,Participants on single-sex teams,938
ME,RSU 54/MSAD 54,2314590,Single-sex teams,44
ME,RSU 54/MSAD 54,2314590,Participants on single-sex teams,528
NH,Windham School District,3307170,Single-sex teams,46
NH,Windham School District,3307170,Participants on single-sex teams,606
RI,Providence,4400900,Single-sex teams,96
RI,Providence,4400900,Participants on single-sex teams,2311
MA,Norwell,2509030,Single-sex teams,18
MA,Norwell,2509030,Participants on single-sex teams,272
ME,RSU 11/MSAD 11,2310590,Single-sex teams,27
ME,RSU 11/MSAD 11,2310590,Participants on single-sex teams,588
RI,Johnston,4400540,Single-sex teams,17
RI,Johnston,4400540,Participants on single-sex teams,305
RI,East Greenwich,4400300,Single-sex teams,24
RI,East Greenwich,4400300,Participants on single-sex teams,465
MA,Tantasqua,2511490,Single-sex teams,46
MA,Tantasqua,2511490,Participants on single-sex teams,584
MA,Westwood,2512810,Single-sex teams,45
MA,Westwood,2512810,Participants on single-sex teams,987
ME,RSU 50,2314806,Single-sex teams,17
ME,RSU 50,2314806,Participants on single-sex teams,95
CT,NORTH BRANFORD SCHOOL DISTRIC,902970,Single-sex teams,35
CT,NORTH BRANFORD SCHOOL DISTRIC,902970,Participants on single-sex teams,495
VT,Burlington School District,5002820,Single-sex teams,33
VT,Burlington School District,5002820,Participants on single-sex teams,830
NH,Berlin School District,3301860,Single-sex teams,20
NH,Berlin School District,3301860,Participants on single-sex teams,328
MA,Brookline,2503150,Single-sex teams,53
MA,Brookline,2503150,Participants on single-sex teams,497
RI,Exeter-West Greenwich,4400360,Single-sex teams,23
RI,Exeter-West Greenwich,4400360,Participants on single-sex teams,380
RI,North Kingstown,4400750,Single-sex teams,56
RI,North Kingstown,4400750,Participants on single-sex teams,1078
VT,Mill River Unified School District,5000393,Single-sex teams,24
VT,Mill River Unified School District,5000393,Participants on single-sex teams,174
CT,WATERBURY SCHOOL DISTRICT,904830,Single-sex teams,76
CT,WATERBURY SCHOOL DISTRICT,904830,Participants on single-sex teams,1332
CT,MANCHESTER SCHOOL DISTRICT,902310,Single-sex teams,40
CT,MANCHESTER SCHOOL DISTRICT,902310,Participants on single-sex teams,773
NH,Winnisquam Regional School District,3307300,Single-sex teams,19
NH,Winnisquam Regional School District,3307300,Participants on single-sex teams,248
NH,Somersworth School District,3306240,Single-sex teams,8
NH,Somersworth School District,3306240,Participants on single-sex teams,200
NH,Timberlane Regional School District,3306720,Single-sex teams,53
NH,Timberlane Regional School District,3306720,Participants on single-sex teams,1103
MA,Amesbury,2501860,Single-sex teams,33
MA,Amesbury,2501860,Participants on single-sex teams,445
MA,Barnstable,2502310,Single-sex teams,49
MA,Barnstable,2502310,Participants on single-sex teams,933
ME,RSU 22,2314815,Single-sex teams,28
ME,RSU 22,2314815,Participants on single-sex teams,558
CT,REGIONAL SCHOOL DISTRICT 06,903515,Single-sex teams,14
CT,REGIONAL SCHOOL DISTRICT 06,903515,Participants on single-sex teams,176
MA,Mansfield,2507230,Single-sex teams,53
MA,Mansfield,2507230,Participants on single-sex teams,1030
MA,Shrewsbury,2510770,Single-sex teams,57
MA,Shrewsbury,2510770,Participants on single-sex teams,1154
RI,Blackstone Valley Prep  A RI Mayoral Academy,4400015,Single-sex teams,7
RI,Blackstone Valley Prep  A RI Mayoral Academy,4400015,Participants on single-sex teams,123
CT,DANBURY SCHOOL DISTRICT,901020,Single-sex teams,56
CT,DANBURY SCHOOL DISTRICT,901020,Participants on single-sex teams,1254
CT,REGIONAL SCHOOL DISTRICT 17,903539,Single-sex teams,37
CT,REGIONAL SCHOOL DISTRICT 17,903539,Participants on single-sex teams,694
ME,RSU 60/MSAD 60,2314700,Single-sex teams,22
ME,RSU 60/MSAD 60,2314700,Participants on single-sex teams,383
CT,STRATFORD SCHOOL DISTRICT,904440,Single-sex teams,53
CT,STRATFORD SCHOOL DISTRICT,904440,Participants on single-sex teams,1328
RI,North Smithfield,4400810,Single-sex teams,28
RI,North Smithfield,4400810,Participants on single-sex teams,384
NH,Littleton School District,3304380,Single-sex teams,16
NH,Littleton School District,3304380,Participants on single-sex teams,183
MA,Weymouth,2512840,Single-sex teams,41
MA,Weymouth,2512840,Participants on single-sex teams,720
MA,Bellingham,2502460,Single-sex teams,40
MA,Bellingham,2502460,Participants on single-sex teams,469
CT,SOUTH WINDSOR SCHOOL DISTRICT,904170,Single-sex teams,48
CT,SOUTH WINDSOR SCHOOL DISTRICT,904170,Participants on single-sex teams,863
RI,Coventry,4400210,Single-sex teams,19
RI,Coventry,4400210,Participants on single-sex teams,527
MA,Rockport,2510200,Single-sex teams,13
