ID,Total_Suspension
3303090,156
3304960,2
3307170,25
2508730,40
4400900,2310
2509030,12
2512210,65
2307320,310
2512750,13
2310590,60
5000399,38
2314767,36
904980,4
4400540,100
2314783,74
900070,88
5000391,33
2504950,39
4400300,2
2511490,29
2505370,26
3303510,9
2314130,4
2512810,4
2310650,12
2314785,76
2507230,26
2510770,63
4400015,32
900700,389
901020,524
903539,10
2314700,146
901470,206
904440,16
2501710,18
3303660,8
2502160,59
2507080,10
2510590,23
2513200,75
2302610,35
2508670,156
4400270,119
2505490,136
2512100,57
4400660,51
2314300,12
2512660,20
2307140,31
5004590,41
3305220,61
3302880,17
2510890,115
2510470,26
2311520,82
900810,21
900420,51
903512,65
903630,10
2504020,51
2507560,191
2504500,62
2511040,65
2511970,71
3304260,65
4400720,160
2314776,24
902280,7
2314790,112
902730,14
904740,63
2511460,41
2303930,6
900990,31
901360,8
2314100,9
3303960,16
2512600,18
2506480,7
3303180,28
5000392,45
2504980,375
2507620,17
2508580,12
2305670,13
2511520,500
901050,7
2314610,72
2314160,62
901800,20
2505220,2
2508340,13
4400330,598
3303330,404
2502100,35
2311790,105
900690,6
903390,28
901230,8
903720,12
903520,15
2313560,114
901680,65
904230,33
2314470,3
904620,23
902130,13
2502430,13
905040,5
903810,3
2504230,12
2507770,77
3305880,45
2511220,36
2505070,38
2508250,40
901170,24
2307100,1
2306060,44
904050,14
2314240,3
904470,30
4400030,37
2502190,294
3306060,55
2303780,36
903536,11
2513170,42
2314782,22
900060,126
902490,112
2310530,10
2314796,13
902880,15
4401110,870
2503540,413
2506390,58
2506900,6
2509720,217
5007830,1
2303150,85
900210,6
2508850,52
3304030,9
4400065,201
4400840,65
3307115,14
5007050,68
2511910,81
2307710,21
2314787,76
2511850,57
3305310,127
3305820,75
3305520,18
2506330,19
2510560,12
2314809,181
2314777,53
902520,64
3301740,56
5000402,32
2507020,928
2503150,38
2510200,65
902160,33
902550,16
904560,6
3303870,10
903538,5
901620,20
2504800,85
904170,59
2512630,167
2510860,14
2507110,1674
903990,96
2508820,13
5005610,126
2509420,28
901440,27
2507260,58
2503090,1806
2314788,26
3303780,30
2510980,4
4400960,10
2311550,108
2503390,45
2511150,65
2309930,221
2501890,2
5007470,54
2512420,2
25SOP01,65
903270,129
902640,122
2314670,114
2314822,41
2508040,15
2504050,54
4401140,189
2502040,1
2314780,11
3305580,145
2508430,790
2512840,180
2314765,24
3303900,11
4400210,83
2503270,93
2512060,235
2510050,196
903530,12
2314778,4
2507050,90
2511340,11
3302340,129
3306720,248
2307530,8
2313350,9
2503300,39
3303240,163
902910,23
2314773,3
901710,36
903120,286
5000395,84
2508310,15
905130,14
2511580,79
3300035,15
2507740,543
4400150,66
2507860,40
2310770,126
3307050,36
4400750,96
2502220,43
3301860,50
901530,9
2507590,9
2502460,40
2502310,91
2510500,79
2310500,194
3305940,574
2505270,15
2311430,14
3302640,76
2509870,248
2505400,19
2504410,15
3304350,20
905070,30
3303000,64
903030,45
5000401,65
5006930,2
4400630,18
904530,33
2502820,53
902700,65
2506780,13
3304140,126
2504200,22
2509450,17
903537,18
2507680,13
3303930,159
901860,178
902400,364
4400870,26
904590,105
905220,166
902220,6
4400990,30
902580,51
2506270,1108
2502790,2235
