Lea State,LEA,ID,Category,Total
MA,Fairhaven,2504800,Classroom Teachers,148.42
MA,Fairhaven,2504800,Classroom teachers in their first year of teaching,0
MA,Fairhaven,2504800,Classroom teachers in their second year of teaching,0
MA,Fairhaven,2504800,Teachers absent more than 10 days of the school year,15.96
MA,Fairhaven,2504800,High-School Counselors,5
MA,Sudbury,2511340,Classroom Teachers,207.95
MA,Sudbury,2511340,Classroom teachers in their first year of teaching,2
MA,Sudbury,2511340,Classroom teachers in their second year of teaching,8
MA,Sudbury,2511340,Teachers absent more than 10 days of the school year,107
MA,Sudbury,2511340,High-School Counselors,7.51
NH,Somersworth School District,3306240,Classroom Teachers,130.2
NH,Somersworth School District,3306240,Classroom teachers in their first year of teaching,15.5
NH,Somersworth School District,3306240,Classroom teachers in their second year of teaching,16
NH,Somersworth School District,3306240,Teachers absent more than 10 days of the school year,42
NH,Somersworth School District,3306240,High-School Counselors,9
MA,Tyngsborough,2511760,Classroom Teachers,136.4
MA,Tyngsborough,2511760,Classroom teachers in their first year of teaching,7
MA,Tyngsborough,2511760,Classroom teachers in their second year of teaching,5.2
MA,Tyngsborough,2511760,Teachers absent more than 10 days of the school year,33
MA,Tyngsborough,2511760,High-School Counselors,7
NH,Timberlane Regional School District,3306720,Classroom Teachers,316.1
NH,Timberlane Regional School District,3306720,Classroom teachers in their first year of teaching,12.6
NH,Timberlane Regional School District,3306720,Classroom teachers in their second year of teaching,11
NH,Timberlane Regional School District,3306720,Teachers absent more than 10 days of the school year,129
NH,Timberlane Regional School District,3306720,High-School Counselors,17.5
ME,Winslow Schools,2313860,Classroom Teachers,97
ME,Winslow Schools,2313860,Classroom teachers in their first year of teaching,6
ME,Winslow Schools,2313860,Classroom teachers in their second year of teaching,4
ME,Winslow Schools,2313860,Teachers absent more than 10 days of the school year,35
ME,Winslow Schools,2313860,High-School Counselors,4
CT,EAST HARTFORD SCHOOL DISTRICT,901260,Classroom Teachers,519
CT,EAST HARTFORD SCHOOL DISTRICT,901260,Classroom teachers in their first year of teaching,40
CT,EAST HARTFORD SCHOOL DISTRICT,901260,Classroom teachers in their second year of teaching,36
CT,EAST HARTFORD SCHOOL DISTRICT,901260,Teachers absent more than 10 days of the school year,64
CT,EAST HARTFORD SCHOOL DISTRICT,901260,High-School Counselors,23
RI,Central Falls,4400120,Classroom Teachers,243.4
RI,Central Falls,4400120,Classroom teachers in their first year of teaching,14
RI,Central Falls,4400120,Classroom teachers in their second year of teaching,6
RI,Central Falls,4400120,Teachers absent more than 10 days of the school year,34
RI,Central Falls,4400120,High-School Counselors,5
MA,Amesbury,2501860,Classroom Teachers,186.71
MA,Amesbury,2501860,Classroom teachers in their first year of teaching,0.69
MA,Amesbury,2501860,Classroom teachers in their second year of teaching,19.48
MA,Amesbury,2501860,Teachers absent more than 10 days of the school year,48.76
MA,Amesbury,2501860,High-School Counselors,10
CT,TOLLAND SCHOOL DISTRICT,904560,Classroom Teachers,192.9
CT,TOLLAND SCHOOL DISTRICT,904560,Classroom teachers in their first year of teaching,5
CT,TOLLAND SCHOOL DISTRICT,904560,Classroom teachers in their second year of teaching,3
CT,TOLLAND SCHOOL DISTRICT,904560,Teachers absent more than 10 days of the school year,64
CT,TOLLAND SCHOOL DISTRICT,904560,High-School Counselors,6
CT,SOMERS SCHOOL DISTRICT,904140,Classroom Teachers,122
CT,SOMERS SCHOOL DISTRICT,904140,Classroom teachers in their first year of teaching,5
CT,SOMERS SCHOOL DISTRICT,904140,Classroom teachers in their second year of teaching,0
CT,SOMERS SCHOOL DISTRICT,904140,Teachers absent more than 10 days of the school year,77
CT,SOMERS SCHOOL DISTRICT,904140,High-School Counselors,4.05
MA,Barnstable,2502310,Classroom Teachers,401
MA,Barnstable,2502310,Classroom teachers in their first year of teaching,19
MA,Barnstable,2502310,Classroom teachers in their second year of teaching,24
MA,Barnstable,2502310,Teachers absent more than 10 days of the school year,132
MA,Barnstable,2502310,High-School Counselors,18.5
MA,Franklin,2505010,Classroom Teachers,433.9
MA,Franklin,2505010,Classroom teachers in their first year of teaching,17
MA,Franklin,2505010,Classroom teachers in their second year of teaching,14
MA,Franklin,2505010,Teachers absent more than 10 days of the school year,146
MA,Franklin,2505010,High-School Counselors,22.6
ME,RSU 22,2314815,Classroom Teachers,174.3
ME,RSU 22,2314815,Classroom teachers in their first year of teaching,8
ME,RSU 22,2314815,Classroom teachers in their second year of teaching,3.65
ME,RSU 22,2314815,Teachers absent more than 10 days of the school year,32
ME,RSU 22,2314815,High-School Counselors,8
CT,ORANGE SCHOOL DISTRICT,903210,Classroom Teachers,115.18
CT,ORANGE SCHOOL DISTRICT,903210,Classroom teachers in their first year of teaching,0
CT,ORANGE SCHOOL DISTRICT,903210,Classroom teachers in their second year of teaching,0
CT,ORANGE SCHOOL DISTRICT,903210,Teachers absent more than 10 days of the school year,46
CT,ORANGE SCHOOL DISTRICT,903210,High-School Counselors,0.25
ME,RSU 40/MSAD 40,2311550,Classroom Teachers,161.11
ME,RSU 40/MSAD 40,2311550,Classroom teachers in their first year of teaching,8
