Lea State,LEA,ID,Sex,Total
NH,Franklin School District,3303090,M,21
NH,Franklin School District,3303090,F,25
NH,Moultonborough School District,3304960,M,15
NH,Moultonborough School District,3304960,F,14
MA,Lynnfield,2507140,M,88
MA,Lynnfield,2507140,F,122
MA,Medfield,2507530,M,159
MA,Medfield,2507530,F,146
MA,Sharon,2510620,M,265
MA,Sharon,2510620,F,251
ME,Calais Public Schools,2303870,M,45
ME,Calais Public Schools,2303870,F,43
CT,REGIONAL SCHOOL DISTRICT 15,903537,M,219
CT,REGIONAL SCHOOL DISTRICT 15,903537,F,216
MA,Clinton,2503750,M,52
MA,Clinton,2503750,F,75
CT,COVENTRY SCHOOL DISTRICT,900960,M,76
CT,COVENTRY SCHOOL DISTRICT,900960,F,72
MA,Narragansett Regional School District,2508280,M,37
MA,Narragansett Regional School District,2508280,F,44
MA,South Hadley,2510920,M,91
MA,South Hadley,2510920,F,100
MA,Blackstone-Millville,2502715,M,37
MA,Blackstone-Millville,2502715,F,66
ME,RSU 88/MSAD 24,2311010,M,8
ME,RSU 88/MSAD 24,2311010,F,12
MA,Hull,2506420,M,45
MA,Hull,2506420,F,52
MA,Oxford,2509270,M,42
MA,Oxford,2509270,F,47
NH,Claremont School District,3302340,M,49
NH,Claremont School District,3302340,F,64
NH,Lisbon Regional School District,3304290,M,14
NH,Lisbon Regional School District,3304290,F,11
MA,Brockton,2503090,M,269
MA,Brockton,2503090,F,411
NH,Merrimack Valley School District,3304760,M,89
NH,Merrimack Valley School District,3304760,F,89
ME,Portland Public Schools,2309930,M,293
ME,Portland Public Schools,2309930,F,341
ME,RSU 79/MSAD 01,2310860,M,68
ME,RSU 79/MSAD 01,2310860,F,73
ME,RSU 20,2314791,M,55
ME,RSU 20,2314791,F,35
CT,NORWICH SCHOOL DISTRICT,903120,M,3
CT,NORWICH SCHOOL DISTRICT,903120,F,1
CT,NEW HARTFORD SCHOOL DISTRICT,902760,M,0
CT,NEW HARTFORD SCHOOL DISTRICT,902760,F,0
ME,RSU 37/MSAD 37,2311430,M,25
ME,RSU 37/MSAD 37,2311430,F,36
RI,Westerly,4401170,M,225
RI,Westerly,4401170,F,230
MA,Danvers,2503990,M,159
MA,Danvers,2503990,F,164
CT,GROTON SCHOOL DISTRICT,901770,M,0
CT,GROTON SCHOOL DISTRICT,901770,F,0
MA,Southwick-Tolland-Granville Regional School District,2500013,M,59
MA,Southwick-Tolland-Granville Regional School District,2500013,F,74
ME,RSU 54/MSAD 54,2314590,M,96
ME,RSU 54/MSAD 54,2314590,F,97
CT,Connecticut Technical Education and Career System,900002,M,1671
CT,Connecticut Technical Education and Career System,900002,F,1411
CT,LITCHFIELD SCHOOL DISTRICT,902220,M,42
CT,LITCHFIELD SCHOOL DISTRICT,902220,F,30
MA,Ashburnham-Westminster,2502040,M,99
MA,Ashburnham-Westminster,2502040,F,134
CT,STAMFORD SCHOOL DISTRICT,904320,M,738
CT,STAMFORD SCHOOL DISTRICT,904320,F,787
NH,Gorham Randolph Shelburne Coop School District,3300035,M,16
NH,Gorham Randolph Shelburne Coop School District,3300035,F,16
NH,Hillsboro Deering Coop School District,3303750,M,38
NH,Hillsboro Deering Coop School District,3303750,F,32
MA,Gateway,2505160,M,14
MA,Gateway,2505160,F,22
NH,Keene School District,3304050,M,204
NH,Keene School District,3304050,F,214
NH,Windham School District,3307170,M,161
NH,Windham School District,3307170,F,168
MA,North Attleborough,2508730,M,171
MA,North Attleborough,2508730,F,209
RI,Providence,4400900,M,1108
RI,Providence,4400900,F,1158
MA,Norwell,2509030,M,100
MA,Norwell,2509030,F,111
MA,Wayland,2512210,M,154
MA,Wayland,2512210,F,172
ME,Lewiston Public Schools,2307320,M,109
ME,Lewiston Public Schools,2307320,F,131
MA,Weston,2512750,M,204
MA,Weston,2512750,F,184
ME,RSU 11/MSAD 11,2310590,M,67
ME,RSU 11/MSAD 11,2310590,F,74
VT,Maple Run Unified School District,5000399,M,83
VT,Maple Run Unified School District,5000399,F,102
ME,RSU 74/MSAD 74,2314767,M,22
ME,RSU 74/MSAD 74,2314767,F,18
CT,WESTBROOK SCHOOL DISTRICT,904980,M,45
CT,WESTBROOK SCHOOL DISTRICT,904980,F,59
RI,Johnston,4400540,M,252
RI,Johnston,4400540,F,247
ME,RSU 04,2314783,M,52
ME,RSU 04,2314783,F,46
CT,AREA COOPERATIVE EDUCATIONAL,900070,M,0
CT,AREA COOPERATIVE EDUCATIONAL,900070,F,0
CT,MILFORD SCHOOL DISTRICT,902520,M,311
CT,MILFORD SCHOOL DISTRICT,902520,F,341
MA,Stoughton,2511250,M,55
MA,Stoughton,2511250,F,73
CT,COLCHESTER SCHOOL DISTRICT,900840,M,199
CT,COLCHESTER SCHOOL DISTRICT,900840,F,187
CT,FAIRFIELD SCHOOL DISTRICT,901530,M,453
CT,FAIRFIELD SCHOOL DISTRICT,901530,F,488
CT,EAST HADDAM SCHOOL DISTRICT,901200,M,44
CT,EAST HADDAM SCHOOL DISTRICT,901200,F,40
CT,REGIONAL SCHOOL DISTRICT 05,903660,M,197
CT,REGIONAL SCHOOL DISTRICT 05,903660,F,219
MA,Monson,2508040,M,9
MA,Monson,2508040,F,14
VT,Milton Incorporated School District,5005610,M,63
VT,Milton Incorporated School District,5005610,F,80
MA,Adams-Cheshire,2501780,M,19
MA,Adams-Cheshire,2501780,F,43
VT,Elmore Morristown Unified School District,5000391,M,12
