Lea State,LEA,ID,Sex,Total
MA,Pembroke,2509420,M,315
MA,Pembroke,2509420,F,286
VA,CUMBERLAND CO PBLC SCHS,5101080,M,113
VA,CUMBERLAND CO PBLC SCHS,5101080,F,110
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,5104020,M,700
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,5104020,F,539
MA,Walpole,2511970,M,123
MA,Walpole,2511970,F,97
MA,Chelmsford,2503510,M,156
MA,Chelmsford,2503510,F,163
CT,OLD SAYBROOK SCHOOL DISTRICT,903180,M,28
CT,OLD SAYBROOK SCHOOL DISTRICT,903180,F,37
CT,WEST HARTFORD SCHOOL DISTRICT,904920,M,238
CT,WEST HARTFORD SCHOOL DISTRICT,904920,F,254
MA,Blackstone-Millville,2502715,M,82
MA,Blackstone-Millville,2502715,F,76
DC,DC Prep PCS,1100048,M,149
DC,DC Prep PCS,1100048,F,182
ME,RSU 35/MSAD 35,2311370,M,148
ME,RSU 35/MSAD 35,2311370,F,127
MA,Swansea,2511460,M,135
MA,Swansea,2511460,F,110
MA,Ipswich,2506480,M,52
MA,Ipswich,2506480,F,53
NC,Franklin County Schools,3701530,M,735
NC,Franklin County Schools,3701530,F,632
VA,KING GEO CO PBLC SCHS,5102100,M,340
VA,KING GEO CO PBLC SCHS,5102100,F,287
NC,Lexington City Schools,3702640,M,256
NC,Lexington City Schools,3702640,F,246
RI,Providence,4400900,M,5677
RI,Providence,4400900,F,4710
CT,SHELTON SCHOOL DISTRICT,904050,M,233
CT,SHELTON SCHOOL DISTRICT,904050,F,229
MA,Whitman-Hanson,2512930,M,219
MA,Whitman-Hanson,2512930,F,243
MA,Shrewsbury,2510770,M,313
MA,Shrewsbury,2510770,F,308
VA,SOUTHAMPTON CO PBLC SCHS,5103600,M,183
VA,SOUTHAMPTON CO PBLC SCHS,5103600,F,158
CT,SIMSBURY SCHOOL DISTRICT,904110,M,96
CT,SIMSBURY SCHOOL DISTRICT,904110,F,96
ME,RSU 74/MSAD 74,2314767,M,78
ME,RSU 74/MSAD 74,2314767,F,104
MA,Hampden-Wilbraham,2505730,M,107
MA,Hampden-Wilbraham,2505730,F,118
MA,Milton,2507980,M,89
MA,Milton,2507980,F,89
VA,HENRY CO PBLC SCHS,5101920,M,477
VA,HENRY CO PBLC SCHS,5101920,F,380
CT,FAIRFIELD SCHOOL DISTRICT,901530,M,229
CT,FAIRFIELD SCHOOL DISTRICT,901530,F,245
MA,Nashoba,2508310,M,106
MA,Nashoba,2508310,F,99
NC,Pender County Schools,3703570,M,949
NC,Pender County Schools,3703570,F,816
NC,Chatham County Schools,3700750,M,401
NC,Chatham County Schools,3700750,F,405
MA,Gateway,2505160,M,47
MA,Gateway,2505160,F,50
VA,PRINCE WILLIAM CO PBLC SCHS,5103130,M,5607
VA,PRINCE WILLIAM CO PBLC SCHS,5103130,F,5232
CT,WESTPORT SCHOOL DISTRICT,905040,M,344
CT,WESTPORT SCHOOL DISTRICT,905040,F,368
SC,Florence 03,4502190,M,324
SC,Florence 03,4502190,F,332
SC,Deaf & Blind School,4500004,M,19
SC,Deaf & Blind School,4500004,F,24
MA,Wareham,2512060,M,235
MA,Wareham,2512060,F,182
MA,Douglas,2504230,M,64
MA,Douglas,2504230,F,73
VA,FRANKLIN CITY PBLC SCHS,5101410,M,124
VA,FRANKLIN CITY PBLC SCHS,5101410,F,116
MA,Leicester,2506720,M,76
MA,Leicester,2506720,F,83
MA,Westport,2512780,M,81
MA,Westport,2512780,F,56
MA,North Middlesex,2508790,M,135
MA,North Middlesex,2508790,F,147
MA,Plymouth,2509720,M,400
MA,Plymouth,2509720,F,360
VA,LEE CO PBLC SCHS,5102190,M,402
VA,LEE CO PBLC SCHS,5102190,F,362
MA,Franklin,2505010,M,193
MA,Franklin,2505010,F,188
VA,PULASKI CO PBLC SCHS,5103150,M,332
VA,PULASKI CO PBLC SCHS,5103150,F,284
NH,Raymond School District,3305880,M,122
NH,Raymond School District,3305880,F,96
MA,Abington,2501650,M,113
MA,Abington,2501650,F,101
RI,Scituate,4400960,M,93
RI,Scituate,4400960,F,64
SC,Marion 10,4503908,M,526
SC,Marion 10,4503908,F,384
NC,Macon County Schools,3702760,M,362
NC,Macon County Schools,3702760,F,305
MA,Wachusett,2511880,M,196
MA,Wachusett,2511880,F,194
NC,Granville County Schools,3701800,M,639
NC,Granville County Schools,3701800,F,514
NH,Contoocook Valley School District,3302480,M,193
NH,Contoocook Valley School District,3302480,F,160
MA,Sharon,2510620,M,101
MA,Sharon,2510620,F,78
MA,Boston,2502790,M,7262
MA,Boston,2502790,F,6204
MA,Athol-Royalston,2502160,M,211
MA,Athol-Royalston,2502160,F,175
NC,McDowell County Schools,3702940,M,529
NC,McDowell County Schools,3702940,F,424
MA,Barnstable,2502310,M,331
MA,Barnstable,2502310,F,382
NH,Derry School District,3302610,M,214
NH,Derry School District,3302610,F,188
MA,Mendon-Upton,2507680,M,81
MA,Mendon-Upton,2507680,F,83
CT,ENFIELD SCHOOL DISTRICT,901470,M,275
CT,ENFIELD SCHOOL DISTRICT,901470,F,258
NC,Harnett County Schools,3702010,M,1708
NC,Harnett County Schools,3702010,F,1492
MA,Fairhaven,2504800,M,97
MA,Fairhaven,2504800,F,92
ME,RSU 22,2314815,M,133
ME,RSU 22,2314815,F,122
CT,BRISTOL SCHOOL DISTRICT,900510,M,279
CT,BRISTOL SCHOOL DISTRICT,900510,F,268
MA,Quaboag Regional,2512100,M,80
MA,Quaboag Regional,2512100,F,85
CT,REGIONAL SCHOOL DISTRICT 13,903535,M,39
CT,REGIONAL SCHOOL DISTRICT 13,903535,F,43
NC,Vance County Schools,3704650,M,853
NC,Vance County Schools,3704650,F,690
CT,WEST HAVEN SCHOOL DISTRICT,904950,M,307
CT,WEST HAVEN SCHOOL DISTRICT,904950,F,271
SC,Hampton 01,4502430,M,211
SC,Hampton 01,4502430,F,196
NH,Berlin School District,3301860,M,133
NH,Berlin School District,3301860,F,111
MA,Dartmouth,2504020,M,131
MA,Dartmouth,2504020,F,97
CT,WATERTOWN SCHOOL DISTRICT,904890,M,146
CT,WATERTOWN SCHOOL DISTRICT,904890,F,165
VA,WAYNESBORO CITY PBLC SCHS,5103930,M,205
VA,WAYNESBORO CITY PBLC SCHS,5103930,F,169
NC,Stokes County Schools,3704380,M,547
NC,Stokes County Schools,3704380,F,457
CT,MADISON SCHOOL DISTRICT,902280,M,40
CT,MADISON SCHOOL DISTRICT,902280,F,26
ME,RSU 06/MSAD 06,2311790,M,159
ME,RSU 06/MSAD 06,2311790,F,142
NC,Weldon City Schools,3704890,M,107
NC,Weldon City Schools,3704890,F,82
RI,Cumberland,4400270,M,248
RI,Cumberland,4400270,F,254
ME,Bangor Public Schools,2302820,M,414
ME,Bangor Public Schools,2302820,F,334
NH,Monadnock Regional School District,3304890,M,164
NH,Monadnock Regional School District,3304890,F,148
VA,ALLEGHANY CO PBLC SCHS,5100152,M,188
VA,ALLEGHANY CO PBLC SCHS,5100152,F,165
MA,Groton-Dunstable,2505500,M,42
MA,Groton-Dunstable,2505500,F,58
MA,Southern Berkshire,2511040,M,42
MA,Southern Berkshire,2511040,F,45
VA,FREDERICKSBURG CITY PBLC SCHS,5101510,M,177
VA,FREDERICKSBURG CITY PBLC SCHS,5101510,F,159
CT,MANSFIELD SCHOOL DISTRICT,902340,M,27
CT,MANSFIELD SCHOOL DISTRICT,902340,F,22
SC,Greenwood 51,4502370,M,75
SC,Greenwood 51,4502370,F,62
NH,Pelham School District,3305550,M,198
NH,Pelham School District,3305550,F,168
MA,Arlington,2501980,M,225
MA,Arlington,2501980,F,252
NH,Wilton-Lyndeboro School District,3307115,M,37
NH,Wilton-Lyndeboro School District,3307115,F,54
RI,Tiverton,4401050,M,156
RI,Tiverton,4401050,F,158
VA,NORFOLK CITY PBLC SCHS,5102670,M,2407
VA,NORFOLK CITY PBLC SCHS,5102670,F,2176
SC,Laurens 55,4502610,M,488
SC,Laurens 55,4502610,F,414
VA,WARREN CO PBLC SCHS,5103870,M,566
VA,WARREN CO PBLC SCHS,5103870,F,498
NC,Carteret County Public Schools,3700630,M,644
NC,Carteret County Public Schools,3700630,F,557
NH,Oyster River Coop School District,3305520,M,68
NH,Oyster River Coop School District,3305520,F,73
NC,Elkin City Schools,3701380,M,35
NC,Elkin City Schools,3701380,F,33
MA,Cohasset,2503780,M,39
MA,Cohasset,2503780,F,40
NH,Timberlane Regional School District,3306720,M,204
NH,Timberlane Regional School District,3306720,F,192
NC,Currituck County Schools,3701080,M,253
NC,Currituck County Schools,3701080,F,237
CT,MONROE SCHOOL DISTRICT,902550,M,64
CT,MONROE SCHOOL DISTRICT,902550,F,82
ME,Wells-Ogunquit CSD,2313490,M,81
ME,Wells-Ogunquit CSD,2313490,F,71
NC,Jones County Schools,3702400,M,135
NC,Jones County Schools,3702400,F,116
NC,Watauga County Schools,3704830,M,275
NC,Watauga County Schools,3704830,F,224
ME,RSU 34,2314782,M,156
ME,RSU 34,2314782,F,170
MA,Marlborough,2507320,M,349
MA,Marlborough,2507320,F,342
SC,Lexington 01,4502700,M,1757
SC,Lexington 01,4502700,F,1610
MA,East Bridgewater,2504440,M,166
MA,East Bridgewater,2504440,F,142
NC,Caswell County Schools,3700660,M,293
NC,Caswell County Schools,3700660,F,265
ME,RSU 67,2314777,M,97
ME,RSU 67,2314777,F,63
MA,Medford,2507560,M,267
MA,Medford,2507560,F,263
VA,ARLINGTON CO PBLC SCHS,5100270,M,943
VA,ARLINGTON CO PBLC SCHS,5100270,F,842
SC,Newberry 01,4503030,M,520
SC,Newberry 01,4503030,F,471
MA,Holyoke,2506270,M,738
MA,Holyoke,2506270,F,688
MA,Hopedale,2506300,M,39
MA,Hopedale,2506300,F,37
MA,Marblehead,2507260,M,114
MA,Marblehead,2507260,F,104
NC,Cumberland County Schools,3700011,M,4914
NC,Cumberland County Schools,3700011,F,4315
CT,GLASTONBURY SCHOOL DISTRICT,901620,M,89
CT,GLASTONBURY SCHOOL DISTRICT,901620,F,88
NC,Burke County Schools,3700480,M,671
NC,Burke County Schools,3700480,F,618
ME,Calais Public Schools,2303870,M,85
ME,Calais Public Schools,2303870,F,68
MA,Wilmington,2513050,M,92
MA,Wilmington,2513050,F,104
MA,Swampscott,2511430,M,114
MA,Swampscott,2511430,F,112
MA,Seekonk,2510590,M,58
MA,Seekonk,2510590,F,56
MA,North Reading,2508820,M,61
MA,North Reading,2508820,F,67
MA,Bedford,2502400,M,83
MA,Bedford,2502400,F,81
VA,STAFFORD CO PBLC SCHS,5103660,M,1350
VA,STAFFORD CO PBLC SCHS,5103660,F,1334
NC,Gaston County Schools,3701620,M,2919
NC,Gaston County Schools,3701620,F,2614
CT,KILLINGLY SCHOOL DISTRICT,902070,M,154
CT,KILLINGLY SCHOOL DISTRICT,902070,F,136
MA,Peabody,2509360,M,586
MA,Peabody,2509360,F,492
SC,Aiken 01,4500720,M,2315
SC,Aiken 01,4500720,F,2163
NC,Pamlico County Schools,3703510,M,129
NC,Pamlico County Schools,3703510,F,124
NH,Bow School District,3301950,M,70
NH,Bow School District,3301950,F,66
NH,Claremont School District,3302340,M,284
NH,Claremont School District,3302340,F,228
NH,Northumberland School District,3305400,M,27
NH,Northumberland School District,3305400,F,24
VA,MARTINSVILLE CITY PBLC SCHS,5102400,M,124
VA,MARTINSVILLE CITY PBLC SCHS,5102400,F,106
ME,RSU 04,2314783,M,133
ME,RSU 04,2314783,F,97
NH,Keene School District,3304050,M,311
NH,Keene School District,3304050,F,259
MA,Framingham,2504980,M,659
MA,Framingham,2504980,F,515
MA,Southbridge,2511010,M,324
MA,Southbridge,2511010,F,318
CT,EAST GRANBY SCHOOL DISTRICT,901170,M,23
CT,EAST GRANBY SCHOOL DISTRICT,901170,F,18
CT,PUTNAM SCHOOL DISTRICT,903480,M,72
CT,PUTNAM SCHOOL DISTRICT,903480,F,64
MA,Winchendon,2513080,M,111
MA,Winchendon,2513080,F,114
ME,RSU 54/MSAD 54,2314590,M,274
ME,RSU 54/MSAD 54,2314590,F,247
NH,Nashua School District,3304980,M,1197
NH,Nashua School District,3304980,F,1024
CT,BERLIN SCHOOL DISTRICT,900210,M,52
CT,BERLIN SCHOOL DISTRICT,900210,F,46
SC,Darlington 01,4501860,M,869
SC,Darlington 01,4501860,F,714
VA,LYNCHBURG CITY PBLC SCHS,5102340,M,591
VA,LYNCHBURG CITY PBLC SCHS,5102340,F,588
CT,ORANGE SCHOOL DISTRICT,903210,M,21
CT,ORANGE SCHOOL DISTRICT,903210,F,22
SC,Spartanburg 04,4503570,M,310
SC,Spartanburg 04,4503570,F,244
VA,GRAYSON CO PBLC SCHS,5101690,M,93
VA,GRAYSON CO PBLC SCHS,5101690,F,104
MA,Braintree,2502940,M,229
MA,Braintree,2502940,F,228
CT,GROTON SCHOOL DISTRICT,901770,M,233
CT,GROTON SCHOOL DISTRICT,901770,F,196
ME,Kittery Public Schools,2307140,M,75
ME,Kittery Public Schools,2307140,F,78
ME,Lisbon Public Schools,2307530,M,138
ME,Lisbon Public Schools,2307530,F,125
MA,Millis,2507920,M,38
MA,Millis,2507920,F,50
ME,York Public Schools,2314130,M,81
ME,York Public Schools,2314130,F,88
MA,Agawam,2501800,M,183
MA,Agawam,2501800,F,174
VA,LUNENBURG CO PBLC SCHS,5102310,M,120
VA,LUNENBURG CO PBLC SCHS,5102310,F,101
MA,Chelsea,2503540,M,775
MA,Chelsea,2503540,F,673
CT,LEDYARD SCHOOL DISTRICT,902160,M,60
CT,LEDYARD SCHOOL DISTRICT,902160,F,59
VA,DANVILLE CITY PBLC SCHS,5101110,M,535
VA,DANVILLE CITY PBLC SCHS,5101110,F,473
VA,WESTMORELAND CO PBLC SCHS,5103980,M,148
VA,WESTMORELAND CO PBLC SCHS,5103980,F,134
CT,EAST HARTFORD SCHOOL DISTRICT,901260,M,497
CT,EAST HARTFORD SCHOOL DISTRICT,901260,F,442
CT,REGIONAL SCHOOL DISTRICT 18,903540,M,29
CT,REGIONAL SCHOOL DISTRICT 18,903540,F,45
CT,NEW FAIRFIELD SCHOOL DISTRICT,902730,M,55
CT,NEW FAIRFIELD SCHOOL DISTRICT,902730,F,41
SC,Orangeburg 05,4503210,M,546
SC,Orangeburg 05,4503210,F,425
DC,E.L. Haynes PCS,1100043,M,113
DC,E.L. Haynes PCS,1100043,F,101
CT,GUILFORD SCHOOL DISTRICT,901800,M,71
CT,GUILFORD SCHOOL DISTRICT,901800,F,89
CT,MILFORD SCHOOL DISTRICT,902520,M,200
CT,MILFORD SCHOOL DISTRICT,902520,F,198
VA,CHARLOTTE CO PBLC SCHS,5100750,M,186
VA,CHARLOTTE CO PBLC SCHS,5100750,F,206
CT,PLAINFIELD SCHOOL DISTRICT,903270,M,162
CT,PLAINFIELD SCHOOL DISTRICT,903270,F,141
MA,Weymouth,2512840,M,496
MA,Weymouth,2512840,F,424
VA,SURRY CO PBLC SCHS,5103750,M,33
VA,SURRY CO PBLC SCHS,5103750,F,31
SC,Allendale 01,4500750,M,197
SC,Allendale 01,4500750,F,107
CT,WINDSOR SCHOOL DISTRICT,905220,M,118
CT,WINDSOR SCHOOL DISTRICT,905220,F,119
NC,Dare County Schools,3701110,M,502
NC,Dare County Schools,3701110,F,510
MA,Lunenburg,2507080,M,70
MA,Lunenburg,2507080,F,46
NC,Nash-Rocky Mount Schools,3703270,M,1518
NC,Nash-Rocky Mount Schools,3703270,F,1343
MA,Greenfield,2505490,M,167
MA,Greenfield,2505490,F,152
CT,PORTLAND SCHOOL DISTRICT,903390,M,41
CT,PORTLAND SCHOOL DISTRICT,903390,F,28
ME,RSU 02,2314776,M,181
ME,RSU 02,2314776,F,173
NC,Swain County Schools,3704440,M,240
NC,Swain County Schools,3704440,F,234
NC,Moore County Schools,3703090,M,846
NC,Moore County Schools,3703090,F,730
NH,Newmarket School District,3305280,M,38
NH,Newmarket School District,3305280,F,39
CT,AVON SCHOOL DISTRICT,900120,M,56
CT,AVON SCHOOL DISTRICT,900120,F,50
VA,VA BEACH CITY PBLC SCHS,5103840,M,3018
VA,VA BEACH CITY PBLC SCHS,5103840,F,2733
MA,Georgetown,2505220,M,58
MA,Georgetown,2505220,F,65
RI,Central Falls,4400120,M,513
RI,Central Falls,4400120,F,409
MA,Ludlow,2507050,M,155
MA,Ludlow,2507050,F,119
NC,Elizabeth City-Pasquotank Public Schools,3703540,M,343
NC,Elizabeth City-Pasquotank Public Schools,3703540,F,342
SC,Calhoun 01,4501250,M,92
SC,Calhoun 01,4501250,F,71
NC,Onslow County Schools,3703450,M,2110
NC,Onslow County Schools,3703450,F,1942
MA,Uxbridge,2511850,M,100
MA,Uxbridge,2511850,F,93
MA,Easthampton,2504590,M,92
MA,Easthampton,2504590,F,89
MA,Easton,2504620,M,124
MA,Easton,2504620,F,116
ME,RSU 57/MSAD 57,2314670,M,208
ME,RSU 57/MSAD 57,2314670,F,183
CT,EAST WINDSOR SCHOOL DISTRICT,901350,M,66
CT,EAST WINDSOR SCHOOL DISTRICT,901350,F,50
MA,Revere,2510050,M,541
MA,Revere,2510050,F,552
NH,Barrington School District,3301650,M,36
NH,Barrington School District,3301650,F,44
NC,Perquimans County Schools,3703600,M,163
NC,Perquimans County Schools,3703600,F,158
MA,Newburyport,2508580,M,68
MA,Newburyport,2508580,F,84
CT,REGIONAL SCHOOL DISTRICT 12,903530,M,24
CT,REGIONAL SCHOOL DISTRICT 12,903530,F,33
CT,NORWALK SCHOOL DISTRICT,903090,M,625
CT,NORWALK SCHOOL DISTRICT,903090,F,525
ME,RSU 24,2314790,M,100
ME,RSU 24,2314790,F,85
SC,Spartanburg 05,4503600,M,461
SC,Spartanburg 05,4503600,F,417
CT,WINDSOR LOCKS SCHOOL DISTRICT,905250,M,77
CT,WINDSOR LOCKS SCHOOL DISTRICT,905250,F,77
CT,NEW BRITAIN SCHOOL DISTRICT,902670,M,1041
CT,NEW BRITAIN SCHOOL DISTRICT,902670,F,861
RI,Middletown,4400630,M,150
RI,Middletown,4400630,F,113
ME,RSU 60/MSAD 60,2314700,M,207
ME,RSU 60/MSAD 60,2314700,F,176
NH,Bedford School District,3301740,M,117
NH,Bedford School District,3301740,F,98
NC,Alexander County Schools,3700090,M,246
NC,Alexander County Schools,3700090,F,228
NH,Goffstown School District,3303240,M,237
NH,Goffstown School District,3303240,F,221
NC,Edgecombe County Public Schools,3701320,M,707
NC,Edgecombe County Public Schools,3701320,F,552
NC,Guilford County Schools,3701920,M,6752
NC,Guilford County Schools,3701920,F,6250
VA,NOTTOWAY CO PBLC SCHS,5102790,M,163
VA,NOTTOWAY CO PBLC SCHS,5102790,F,148
