ID,Grad_Rate
100005,94
100006,91
100007,94
100008,96
100011,95
100012,94
100013,97
100030,89
100060,95
100090,79
100100,94
100120,89
100180,94
100185,95
100188,84
100189,95
100190,97
100194,93
100197,69
100210,95
100240,89
100270,88
100300,79
100330,77
100360,88
100390,79
100420,93
100450,94
100480,89
100510,83
100540,92
100600,82
100630,94
100660,87
100690,84
100720,93
100750,89
100780,94
100810,95
100840,93
100870,84
100900,84
100930,94
100960,94
100990,93
101020,94
101050,97
101080,89
101110,92
101140,92
101170,87
101200,94
101230,87
101260,90
101290,90
101320,93
101350,92
101380,95
101410,84
101440,84
101470,94
101530,95
101560,97
101590,91
101620,84
101640,94
101660,94
101680,84
101690,95
101710,91
101720,94
101730,96
101740,94
101760,93
101770,94
101800,88
101830,92
101860,89
101890,94
101920,92
101950,94
101980,79
102010,93
102040,93
102070,90
102100,90
102130,90
102160,84
102190,89
102220,95
102250,89
102310,89
102350,89
102370,86
102400,86
102430,81
102480,94
102490,97
102520,96
102550,94
102580,88
102610,94
102635,94
102640,94
102650,90
102670,95
102700,97
102730,98
102760,95
102790,94
102820,94
102850,95
102880,88
102910,95
102940,94
102970,89
103000,94
103030,95
103062,90
103090,84
103120,95
103150,89
103180,93
103210,93
103240,94
103270,79
103300,94
103330,94
103360,91
103390,87
103420,89
103430,94
103450,90
103480,90
103510,94
103540,94
103580,84
200001,61
200003,64
200004,59
200005,50
200006,95
200007,80
200020,79
200030,80
200050,59
200060,80
200070,59
200090,69
200100,89
200120,69
200130,80
200150,84
200180,81
200210,83
200240,79
200270,79
200300,50
200330,50
200360,50
200390,85
200450,50
200480,89
200485,79
200510,83
200520,59
200525,80
200540,39
200570,79
200600,78
200610,69
200625,79
200660,90
200680,50
200690,50
200700,50
200710,69
200720,90
200730,50
200760,79
200770,69
200775,79
200780,79
200800,79
200810,80
200862,55
400001,94
400003,94
400016,89
400019,94
400021,69
400023,64
400026,80
400036,89
400041,90
400043,89
400047,39
400052,90
400053,95
400056,95
400057,19-Nov
400061,10
400065,95
400067,50
400070,90
400074,95
400077,39
400078,24
400079,24
400081,50
400082,83
400083,32
400094,39
400095,54
400097,95
400099,59
400103,23
400106,95
400107,52
400108,53
400112,87
400121,79
400124,29
400129,50
400130,80
400133,50
400144,80
400147,49
400149,54
400153,69
400154,50
400157,27
400159,10
400163,54
400201,24
400202,90
400204,39
400209,50
400211,90
400212,94
400219,19
400223,90
400225,95
400231,89
400238,90
400241,95
400243,90
400244,89
400246,80
400248,80
400254,10
400259,89
400261,18
400266,39
400267,50
400273,23
400274,29
400276,39
400278,50
400280,90
400282,90
400284,50
400288,64
400290,80
400295,77
400303,46
400311,32
400315,39
400321,69
400322,14-Oct
400327,95
400329,18
400330,29
400332,39
400352,34
400353,28
400354,21
400355,39
400356,79
400357,39
400363,19-Nov
400364,14-Oct
400366,50
400367,44
400373,80
400381,79
400382,49
400383,39
400384,44
400385,29
400386,24
400387,20
400388,49
400389,24
400391,50
400394,59
400395,94
400402,80
400405,59
400407,90
400414,89
400416,39
400417,95
400420,50
400423,64
400426,80
400427,54
400429,50
400432,36
400440,95
400447,90
400450,93
400520,80
400608,95
400610,90
400614,90
400618,39
400619,89
400621,44
400625,79
400626,50
400632,59
400633,14-Oct
400636,21
400640,50
400653,90
400655,95
400656,79
400680,82
400720,90
400746,80
400747,95
400757,90
400760,90
400769,90
400770,95
400771,50
400775,50
400776,80
400778,79
400783,94
400785,80
400790,85
400800,95
400801,80
400803,89
400805,80
400807,79
400814,50
400816,12
400818,90
400819,90
400820,89
400821,39
400823,69
400827,20
400828,95
400829,90
400830,95
400831,90
400838,90
400839,39
400843,95
400851,90
400858,95
400859,90
400861,80
400862,90
400872,79
400878,95
400880,29
400889,50
400897,80
400898,50
400903,50
400904,95
400909,95
400910,79
400911,89
400917,50
400924,90
400926,90
400946,89
400947,80
400950,10
400965,50
401000,79
401160,80
401180,94
401410,93
401460,92
401600,84
401740,83
401760,98
401870,92
401940,71
402320,79
402530,91
402600,80
402690,94
402860,86
402920,85
403010,89
403040,94
403080,79
403200,90
403290,89
403310,89
403400,91
403450,89
403500,89
403550,50
403730,80
403780,95
403820,94
403860,1
403870,89
403950,59
403990,91
404010,80
404060,84
404280,91
404410,69
404570,94
404630,85
404720,76
404820,79
404970,79
405030,74
405070,80
405320,95
405360,5
405500,50
405530,92
405820,84
405930,88
405980,79
406030,80
406070,72
406250,95
406330,82
406440,89
406580,84
406730,84
406740,59
406810,94
406850,89
406870,69
406960,64
407130,79
407170,95
407240,83
407300,86
407520,95
407530,84
407570,90
407630,50
407700,84
407750,95
407820,94
408020,90
408080,89
408170,78
408230,80
408280,95
408340,88
408410,95
408520,90
408600,90
408680,74
408800,85
408850,90
408910,90
409160,69
409190,79
409250,89
409310,94
409430,74
409460,84
409630,92
409733,89
500001,95
500006,89
500009,90
500012,90
500015,93
500016,94
500017,92
500019,94
500020,90
500021,90
500023,79
500026,74
500028,95
500029,95
500030,90
500032,90
500036,50
500041,90
500042,94
500043,87
500044,89
500045,84
500046,95
500047,84
500048,89
500049,84
500051,89
500055,90
500059,89
500062,94
500065,90
500067,90
500068,94
500070,94
500071,80
500072,90
500073,90
500074,95
500076,90
500078,95
500079,79
500082,94
500390,29
500394,79
500398,95
500402,95
500405,94
500407,29
500408,59
500409,50
500416,80
500419,83
502250,95
502280,80
502430,94
502550,90
502580,94
502610,94
502670,80
502700,94
502730,89
502790,94
502820,89
502880,86
502960,95
503030,89
503060,94
503090,84
503150,89
503240,94
503300,79
503320,89
503420,80
503450,95
503480,90
503630,90
503640,95
503690,92
503710,89
503750,91
503770,80
503840,80
503960,90
504020,94
504050,95
504080,95
504110,95
504170,90
504200,94
504350,89
504370,89
504380,94
504410,94
504560,90
504590,89
504680,90
504740,80
504800,89
504860,89
504890,90
504930,89
504980,89
505170,80
505190,89
505340,90
505410,64
505430,89
505470,94
505500,89
505550,90
505580,90
505680,93
505760,95
505850,89
505970,89
506060,89
506090,95
506120,92
506150,95
506210,90
506240,90
506270,89
506330,89
506360,95
506420,94
506540,94
506630,95
506690,94
506840,84
506870,89
506900,95
506930,89
506990,98
507110,89
507140,90
507170,95
507230,90
507290,95
507320,94
507350,84
507380,94
507530,89
507560,84
507620,94
507680,84
507710,90
507740,89
507770,94
507840,79
507860,94
507890,74
507920,89
507990,94
508040,89
508130,84
508240,90
508280,87
508340,90
508400,89
508490,80
508610,84
508640,94
508670,87
508700,89
508730,90
508940,89
509000,82
509060,94
509150,89
509190,90
509240,94
509270,90
509330,94
509360,74
509390,88
509420,90
509480,95
509510,90
509540,89
509570,90
509600,90
509630,89
509720,95
509750,95
509780,80
509840,95
509990,90
510080,80
510170,89
510200,95
510260,79
510290,80
510320,90
510380,95
510410,90
510440,95
510560,90
510680,78
510920,89
510950,94
510980,90
511010,95
511070,90
511130,95
511220,90
511340,94
511370,94
511610,94
511700,94
511730,90
511760,94
511820,94
511850,85
511880,90
511970,87
512000,94
512060,93
512090,90
512180,80
512210,89
512420,80
512450,90
512480,89
512510,94
512520,89
512540,89
512570,90
512630,89
512660,86
512930,80
512960,89
513080,95
513110,83
513230,95
513350,94
513380,95
513410,87
513530,95
513560,80
513680,94
513930,94
514010,94
514020,89
514040,90
514140,87
514370,80
514400,90
514430,91
514490,95
5900027,54
5900031,79
5900034,89
5900036,54
5900038,59
5900041,59
5900046,89
5900047,59
5900051,59
5900055,49
5900057,59
5900061,79
5900064,50
5900067,69
5900072,69
5900073,39
5900080,34
5900085,49
5900090,39
5900091,59
5900093,59
5900097,59
5900101,89
5900103,50
5900104,50
5900105,74
5900108,79
5900110,20
5900113,59
