ID,Category,Total
619700,Algebra_Early,927
619700,Algebra_Early_Passed,751
619700,Algebra_Late,98
619700,Algebra_Late_Passed,52
600020,Algebra_Early,690
600020,Algebra_Early_Passed,614
600020,Algebra_Late,23
600020,Algebra_Late_Passed,6
631530,Algebra_Early,2327
631530,Algebra_Early_Passed,2175
631530,Algebra_Late,196
631530,Algebra_Late_Passed,173
639870,Algebra_Early,0
639870,Algebra_Late,0
606390,Algebra_Early,0
606390,Algebra_Late,0
628050,Algebra_Early,2390
628050,Algebra_Early_Passed,1189
628050,Algebra_Late,231
628050,Algebra_Late_Passed,81
613890,Algebra_Early,857
613890,Algebra_Early_Passed,710
613890,Algebra_Late,122
613890,Algebra_Late_Passed,81
630750,Algebra_Early,897
630750,Algebra_Early_Passed,756
630750,Algebra_Late,76
630750,Algebra_Late_Passed,59
601410,Algebra_Early,657
601410,Algebra_Early_Passed,140
601410,Algebra_Late,7
601410,Algebra_Late_Passed,2
622890,Algebra_Early,0
622890,Algebra_Late,0
614190,Algebra_Early,204
614190,Algebra_Early_Passed,195
614190,Algebra_Late,21
614190,Algebra_Late_Passed,21
691009,Algebra_Early,37
691009,Algebra_Early_Passed,19
691009,Algebra_Late,26
691009,Algebra_Late_Passed,23
607970,Algebra_Early,1078
607970,Algebra_Early_Passed,665
607970,Algebra_Late,57
607970,Algebra_Late_Passed,20
638010,Algebra_Early,2858
638010,Algebra_Early_Passed,1972
638010,Algebra_Late,1388
638010,Algebra_Late_Passed,1012
612090,Algebra_Early,0
612090,Algebra_Late,0
600065,Algebra_Early,731
600065,Algebra_Early_Passed,459
600065,Algebra_Late,24
600065,Algebra_Late_Passed,17
604020,Algebra_Early,336
604020,Algebra_Early_Passed,193
604020,Algebra_Late,73
604020,Algebra_Late_Passed,13
600043,Algebra_Early,131
600043,Algebra_Early_Passed,123
600043,Algebra_Late,7
600043,Algebra_Late_Passed,4
600029,Algebra_Early,1857
600029,Algebra_Early_Passed,1652
600029,Algebra_Late,44
600029,Algebra_Late_Passed,22
624660,Algebra_Early,1185
624660,Algebra_Early_Passed,900
624660,Algebra_Late,620
624660,Algebra_Late_Passed,119
611820,Algebra_Early,4520
611820,Algebra_Early_Passed,3013
611820,Algebra_Late,651
611820,Algebra_Late_Passed,189
641880,Algebra_Early,0
641880,Algebra_Late,0
627780,Algebra_Early,116
627780,Algebra_Early_Passed,105
627780,Algebra_Late,1
627780,Algebra_Late_Passed,<=2
605820,Algebra_Early,569
605820,Algebra_Early_Passed,462
605820,Algebra_Late,50
605820,Algebra_Late_Passed,30
636600,Algebra_Early,1356
636600,Algebra_Early_Passed,119
636600,Algebra_Late,301
636600,Algebra_Late_Passed,122
610260,Algebra_Early,446
610260,Algebra_Early_Passed,430
610260,Algebra_Late,14
610260,Algebra_Late_Passed,12
619540,Algebra_Early,8433
619540,Algebra_Early_Passed,6013
619540,Algebra_Late,1547
619540,Algebra_Late_Passed,1054
621810,Algebra_Early,274
621810,Algebra_Early_Passed,140
621810,Algebra_Late,62
621810,Algebra_Late_Passed,6
699720,Algebra_Early,73
699720,Algebra_Early_Passed,<=2
699720,Algebra_Late,3
699720,Algebra_Late_Passed,<=2
639420,Algebra_Early,1350
639420,Algebra_Early_Passed,1092
639420,Algebra_Late,62
639420,Algebra_Late_Passed,47
637530,Algebra_Early,388
637530,Algebra_Early_Passed,282
637530,Algebra_Late,72
637530,Algebra_Late_Passed,16
642580,Algebra_Early,24
642580,Algebra_Early_Passed,18
642580,Algebra_Late,7
642580,Algebra_Late_Passed,1
625320,Algebra_Early,546
625320,Algebra_Early_Passed,272
625320,Algebra_Late,122
625320,Algebra_Late_Passed,34
625860,Algebra_Early,574
625860,Algebra_Early_Passed,471
625860,Algebra_Late,75
625860,Algebra_Late_Passed,48
634410,Algebra_Early,4229
634410,Algebra_Early_Passed,3622
634410,Algebra_Late,207
634410,Algebra_Late_Passed,152
642930,Algebra_Early,133
642930,Algebra_Early_Passed,87
642930,Algebra_Late,6
642930,Algebra_Late_Passed,2
636820,Algebra_Early,65
636820,Algebra_Early_Passed,65
636820,Algebra_Late,3
636820,Algebra_Late_Passed,1
641160,Algebra_Early,2041
641160,Algebra_Early_Passed,1423
641160,Algebra_Late,86
641160,Algebra_Late_Passed,50
622710,Algebra_Early,32615
622710,Algebra_Early_Passed,21093
622710,Algebra_Late,1371
622710,Algebra_Late_Passed,563
623940,Algebra_Early,144
623940,Algebra_Early_Passed,106
623940,Algebra_Late,16
623940,Algebra_Late_Passed,14
691029,Algebra_Early,134
691029,Algebra_Early_Passed,120
691029,Algebra_Late,189
691029,Algebra_Late_Passed,169
691002,Algebra_Early,43
691002,Algebra_Early_Passed,24
691002,Algebra_Late,29
691002,Algebra_Late_Passed,16
618930,Algebra_Early,907
618930,Algebra_Early_Passed,728
618930,Algebra_Late,57
618930,Algebra_Late_Passed,43
618210,Algebra_Early,362
618210,Algebra_Early_Passed,251
618210,Algebra_Late,128
618210,Algebra_Late_Passed,111
635130,Algebra_Early,2589
635130,Algebra_Early_Passed,2431
635130,Algebra_Late,834
635130,Algebra_Late_Passed,745
601428,Algebra_Early,0
601428,Algebra_Late,0
635830,Algebra_Early,85
635830,Algebra_Early_Passed,74
635830,Algebra_Late,129
635830,Algebra_Late_Passed,117
691022,Algebra_Early,21
691022,Algebra_Early_Passed,21
691022,Algebra_Late,33
691022,Algebra_Late_Passed,33
614760,Algebra_Early,2177
614760,Algebra_Early_Passed,1262
614760,Algebra_Late,492
614760,Algebra_Late_Passed,63
616920,Algebra_Early,1566
616920,Algebra_Early_Passed,1338
616920,Algebra_Late,311
616920,Algebra_Late_Passed,47
601322,Algebra_Early,261
601322,Algebra_Early_Passed,252
601322,Algebra_Late,0
601322,Algebra_Late_Passed,<=2
634920,Algebra_Early,0
634920,Algebra_Late,0
611280,Algebra_Early,342
611280,Algebra_Early_Passed,257
611280,Algebra_Late,57
611280,Algebra_Late_Passed,8
637260,Algebra_Early,221
637260,Algebra_Early_Passed,161
637260,Algebra_Late,34
637260,Algebra_Late_Passed,12
623160,Algebra_Early,971
623160,Algebra_Early_Passed,655
623160,Algebra_Late,145
623160,Algebra_Late_Passed,28
640680,Algebra_Early,0
640680,Algebra_Late,0
638880,Algebra_Early,294
638880,Algebra_Early_Passed,207
638880,Algebra_Late,84
638880,Algebra_Late_Passed,69
609810,Algebra_Early,255
609810,Algebra_Early_Passed,207
609810,Algebra_Late,18
609810,Algebra_Late_Passed,14
621000,Algebra_Early,586
621000,Algebra_Early_Passed,381
621000,Algebra_Late,24
621000,Algebra_Late_Passed,3
629910,Algebra_Early,322
629910,Algebra_Early_Passed,257
629910,Algebra_Late,12
629910,Algebra_Late_Passed,8
602630,Algebra_Early,5981
602630,Algebra_Early_Passed,2398
602630,Algebra_Late,319
602630,Algebra_Late_Passed,68
691051,Algebra_Early,37
691051,Algebra_Early_Passed,25
691051,Algebra_Late,93
691051,Algebra_Late_Passed,60
600116,Algebra_Early,171
600116,Algebra_Early_Passed,159
600116,Algebra_Late,27
600116,Algebra_Late_Passed,26
603630,Algebra_Early,0
603630,Algebra_Late,0
601422,Algebra_Early,12
601422,Algebra_Early_Passed,3
601422,Algebra_Late,67
601422,Algebra_Late_Passed,30
630990,Algebra_Early,0
630990,Algebra_Late,0
635600,Algebra_Early,732
635600,Algebra_Early_Passed,582
635600,Algebra_Late,76
635600,Algebra_Late_Passed,55
639000,Algebra_Early,148
639000,Algebra_Early_Passed,141
639000,Algebra_Late,3
639000,Algebra_Late_Passed,3
626910,Algebra_Early,674
626910,Algebra_Early_Passed,567
626910,Algebra_Late,100
626910,Algebra_Late_Passed,69
635250,Algebra_Early,979
